player 2 initial hand 3 9 4 3 
player 2 draws a 2 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand 9 4 3 2 
player 2 draws a 4 from deck 2
player 2 discards a 9 to deck 3
player 2 current hand 4 3 2 4 
player 2 draws a 2 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand 3 2 4 2 
player 2 draws a 1 from deck 2
player 2 discards a 3 to deck 3
player 2 current hand 2 4 2 1 
player 2 draws a 4 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand 2 2 1 4 
player 2 draws a 9 from deck 2
player 2 discards a 1 to deck 3
player 2 current hand 2 2 4 9 
player 2 draws a 12 from deck 2
player 2 discards a 4 to deck 3
player 2 current hand 2 2 9 12 
player 2 draws a 10 from deck 2
player 2 discards a 9 to deck 3
player 2 current hand 2 2 12 10 
player 2 draws a 5 from deck 2
player 2 discards a 12 to deck 3
player 2 current hand 2 2 10 5 
player 2 draws a 5 from deck 2
player 2 discards a 10 to deck 3
player 2 current hand 2 2 5 5 
player 2 draws a 7 from deck 2
player 2 discards a 5 to deck 3
player 2 current hand 2 2 5 7 
player 2 draws a 8 from deck 2
player 2 discards a 5 to deck 3
player 2 current hand 2 2 7 8 
player 2 draws a 22 from deck 2
player 2 discards a 7 to deck 3
player 2 current hand 2 2 8 22 
player 2 draws a 6 from deck 2
player 2 discards a 8 to deck 3
player 2 current hand 2 2 22 6 
player 2 draws a 9 from deck 2
player 2 discards a 22 to deck 3
player 2 current hand 2 2 6 9 
player 2 draws a 9 from deck 2
player 2 discards a 6 to deck 3
player 2 current hand 2 2 9 9 
player 4 has informed player 2 that player 4 has won
player 2 exits
player 2 final hand: 2 2 9 9 
